rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Iowa St.,B12,25-10,119.30864151582587,21,93.30599129772969,10,0.9441195685929822,11,25.0,10.0,13.0,7.0,13-7,0.7326239821906702,0.4960229618357869,0.841353668732624,0.7326239821906702,0.4960229618357869,0.841353668732624,0.6388650758261142,0.7994120742553043,113.2616130007929,101.4073970508219,113.2616130007929,101.4073970508219,115.54850578283269,90.55703111963288,118.84392420105569,91.80910264332125,0.9511141286954607,15.0,-0.024401430265282298,1511.0,1373.0,1411.9249999999997,1.0701701577633376,0.9724312552012325,0.0,0.65,5.431292863996415,17,240,68.76893976658735
12,Wisconsin,B10,27-10,123.11029200363203,13,96.75862569202425,29,0.9410276189338693,12,27.0,10.0,13.0,7.0,13-7,0.7413778638658565,0.5021255600677929,0.8381887949592228,0.7413778638658565,0.5021255600677929,0.8381887949592228,0.6335101859198957,0.8101377350997816,113.93893954850928,101.42785743438075,113.93893954850928,101.42785743438075,123.92484545502673,95.23373764627819,125.55578902258685,97.54738654631335,0.9479815737101809,17.0,0.00034964069645038176,1589.0,1430.0,1376.075,1.1547335719346692,1.03918754428356,0.0,0.65,6.566060634559896,10,178,67.8732018829899
13,Michigan St.,B10,30-7,117.26323926237202,35,92.331298282682,6,0.9398533776979349,13,30.0,7.0,17.0,3.0,17-3,0.7479723116113213,0.5098940948000725,0.8478135130809596,0.7479723116113213,0.5098940948000725,0.8478135130809596,0.6296008310782362,0.8283261014336669,114.13404982805864,100.97805581908528,114.13404982805864,100.97805581908528,120.13552712005242,90.13917539376621,116.40759091925311,89.84962812823893,0.9515722738518864,19.0,0.08704258508785678,1544.0,1330.0,1369.0750000000003,1.1277687489728465,0.9714588316929311,0.0,0.85,8.458948635357295,7,21,67.64944950400769
14,BYU,B12,26-10,126.79574370263649,5,100.21798084286883,64,0.9373294571075774,14,26.0,10.0,14.0,6.0,14-6,0.7163610713708584,0.3750134998197236,0.8471921746741506,0.7163610713708584,0.3750134998197236,0.8471921746741506,0.6302261195763911,0.8900459505403184,112.56344744534005,101.06230716823273,112.56344744534005,101.06230716823273,126.46400108479187,98.38307202731374,130.02127098505318,103.8569452969966,0.9298157021776746,16.0,0.0120591221802,1580.0,1461.0,1375.4249999999997,1.1487358452841852,1.0622171328861991,0.0,0.7,4.820067088410087,22,145,67.57846283989947
15,Purdue,B10,24-12,125.60231297821201,8,99.37460228938109,53,0.9366465796841968,15,24.0,12.0,13.0,7.0,13-7,0.7975783522739297,0.6730792658067242,0.8515128530152166,0.7975783522739297,0.6730792658067242,0.8515128530152166,0.5966388126174307,0.6713514271104134,115.53239200752576,99.84066292474387,115.53239200752576,99.84066292474387,127.35625922218298,98.22033202069458,124.04085267487793,101.64843008646493,0.9080074540703015,17.0,-0.02090652935754933,1578.0,1423.0,1336.6875,1.1805302286435686,1.064571936222939,0.0,0.65,4.924915893973462,21,231,65.2015439873728
16,St. John's,BE,31-5,112.95607418564043,74,90.0334874198253,2,0.9314001957087832,16,31.0,5.0,18.0,2.0,18-2,0.6833643219652826,0.526469669588084,0.7413511662683747,0.6833643219652826,0.526469669588084,0.7413511662683747,0.725942942184752,0.8324653977844008,111.71283647224543,102.81121473359879,111.71283647224543,102.81121473359879,110.24217097712548,88.13427157175497,112.67333196551843,90.50512182709045,0.9254970820471898,13.0,0.07234790950700143,1496.0,1297.0,1406.9,1.0633307271305708,0.9218849953799132,0.0,0.9,7.8478650369737615,8,37,70.05783640232396
17,Kentucky,SEC,24-12,123.42902943141485,12,98.4956163718566,42,0.9305406648200973,17,24.0,12.0,10.0,8.0,10-8,0.7705188852022623,0.5654723167153596,0.8907808829896608,0.7705188852022623,0.5654723167153596,0.8907808829896608,0.5644941456613461,0.738934777988021,116.16045585504568,100.01042842996401,116.16045585504568,100.01042842996401,126.92144405807355,100.53126698822564,124.52306652479626,101.99315681148201,0.9084812506313019,23.0,0.034001812962312306,1503.0,1460.0,1294.9875,1.1606289636000349,1.1274240098842654,0.0,0.5555555555555556,5.6221791023820105,13,96,70.85771232544725
18,UCLA,B10,23-11,117.94218511211321,29,94.33731863770598,15,0.928783654290231,18,23.0,11.0,13.0,7.0,13-7,0.71217931757675,0.42926571451849943,0.8380628180461857,0.71217931757675,0.42926571451849943,0.8380628180461857,0.6307799143330459,0.7883526692762046,113.37061315025863,101.95264160469506,113.37061315025863,101.95264160469506,120.40180119600306,96.05252215713698,116.67717303612797,97.06370623364066,0.8924964785687522,18.0,-0.016574132477350068,1458.0,1383.0,1309.2624999999998,1.113604032804728,1.056319874738641,0.0,0.65,3.874528175715399,27,214,65.12523192058345
19,Illinois,B10,22-13,122.50987011400207,14,98.48713862505397,41,0.9248436972355392,19,22.0,13.0,12.0,8.0,12-8,0.7617981613039456,0.5345928097844166,0.8617825055358443,0.7617981613039456,0.5345928097844166,0.8617825055358443,0.5894690475717596,0.6973470089474806,114.53580795568854,100.25615377798884,114.53580795568854,100.25615377798884,123.76785064476965,96.68059447328469,121.69919665713118,98.24693494635973,0.9214190750380767,20.0,-0.017929933513881946,1643.0,1533.0,1452.6625,1.1310266493421564,1.0553036235188835,0.0,0.6,3.9754010600742653,26,222,71.52589483832303
20,Missouri,SEC,22-12,125.91303130091403,7,101.23549799888622,80,0.9247447935004709,20,22.0,12.0,10.0,8.0,10-8,0.6884077770505619,0.3790130243642122,0.8767071749194629,0.6884077770505619,0.3790130243642122,0.8767071749194629,0.6371939646151765,0.8667631743961282,112.40785992715011,102.11496375982593,112.40785992715011,102.11496375982593,129.54071229569487,99.34019947427537,126.94742387475667,100.32063841586493,0.9374453630533021,19.0,-0.038038211534730526,1486.0,1390.0,1254.7625000000003,1.1842878632410514,1.1077793606359767,0.0,0.5555555555555556,3.2067903261403377,29,275,68.60675912382833
21,Kansas,B12,21-13,116.0423205931603,47,93.72589952694408,11,0.9210118140750906,21,21.0,13.0,11.0,9.0,11-9,0.785052241390544,0.6483600271876733,0.847696027305278,0.785052241390544,0.6483600271876733,0.847696027305278,0.5853203461332955,0.6798825250510385,115.25640055765126,99.3549392660582,115.25640055765126,99.3549392660582,115.46273646469254,92.47747089766857,112.57254589929835,93.40508057196729,0.8953412109656781,18.0,-0.012534982120120053,1469.0,1378.0,1383.05,1.062145258667438,0.9963486497234374,0.0,0.55,4.189857255538461,25,207,68.59723237621436
22,Michigan,B10,27-10,115.70954823486818,53,93.93847027333986,12,0.9166056169417102,22,27.0,10.0,14.0,6.0,14-6,0.7877198762726341,0.5912907269832322,0.8540147406705314,0.7877198762726341,0.5912907269832322,0.8540147406705314,0.6006722439836676,0.8143063801979262,114.75401983324537,99.4283870087213,114.75401983324537,99.4283870087213,113.9205267946003,96.42790213734995,115.2866540354017,92.57621834901818,0.9257370396852154,21.0,0.09218860563770448,1495.0,1502.0,1414.3125000000002,1.0570506871713286,1.0620000883821643,0.0,0.7,6.84519954585937,9,19,70.028786007585
23,Texas A&M,SEC,23-11,116.02656671833661,48,94.20535562084584,14,0.9165167842772572,23,23.0,11.0,11.0,7.0,11-7,0.7834806951942473,0.6475837129946634,0.8729984054532359,0.7834806951942473,0.6475837129946634,0.8729984054532359,0.5994526030105717,0.7212906669721177,115.22502156477492,99.80812679968957,115.22502156477492,99.80812679968957,116.36461130943293,94.1037012592298,116.62709342581603,94.61887974832055,0.9172026703230004,18.0,0.04032405406820827,1299.0,1266.0,1211.6875,1.0720585959663693,1.0448238510341983,0.0,0.6111111111111112,5.464531194461791,15,84,66.71378671218714
24,Louisville,ACC,27-8,117.9583698992189,28,95.92291101879434,21,0.9151380741044562,24,27.0,8.0,18.0,2.0,18-2,0.6977714963069606,0.6220771673381049,0.7023818092117212,0.6977714963069606,0.6220771673381049,0.7023818092117212,0.7022034144162769,0.7189916532668378,112.46649302532991,102.41094706765702,112.46649302532991,102.41094706765702,121.2098109287412,93.28691427663803,119.74886008044133,97.23937202538046,0.9164101400168003,12.0,0.04055662668139959,1600.0,1344.0,1372.95,1.1653738300739285,0.9789140172620998,0.0,0.9,5.491651597430422,14,83,69.1582158833173
25,Mississippi,SEC,24-12,119.26340437732446,22,97.04331333645571,32,0.9145918907278953,25,24.0,12.0,10.0,8.0,10-8,0.7517103096319623,0.5061827159960532,0.8808393862322109,0.7517103096319623,0.5061827159960532,0.8808393862322109,0.575151821875593,0.7635850347782301,114.80969943321205,99.81123357910525,114.80969943321205,99.81123357910525,117.94671858645681,97.68958330388642,121.63148258909067,96.01680950429063,0.9381637347936432,23.0,0.06186819263702603,1356.0,1373.0,1259.1625000000001,1.0769062769896656,1.0904073143855537,0.0,0.5555555555555556,4.93171726532285,20,45,68.0558478218606
26,Clemson,ACC,27-7,117.304875837054,34,95.54036767542435,18,0.9137349380584194,26,27.0,7.0,18.0,2.0,18-2,0.6620908613774723,0.566371780805552,0.6856052497023735,0.6620908613774723,0.566371780805552,0.6856052497023735,0.7435094165349131,0.7879801542324923,111.09000868796595,103.33745403831493,111.09000868796595,103.33745403831493,120.86770823915803,95.72404472306451,120.5353299426595,95.20920553941735,0.9377580119202388,7.0,0.026188019605033586,1514.0,1290.0,1299.4625,1.165097107457891,0.9927181430783881,0.0,0.9,4.752377543406287,23,115,64.63056312521302
27,Saint Mary's,WCC,29-6,114.1458097782239,59,92.96749618613839,8,0.913734276239372,27,29.0,6.0,17.0,1.0,17-1,0.6169601634714209,0.5803871182758804,0.6034682192604296,0.6169601634714209,0.5803871182758804,0.6034682192604296,0.7581293049718886,0.8146734490906244,112.0963645013665,104.84664105229098,112.0963645013665,104.84664105229098,117.42411573191481,91.50731330521982,109.07989117992064,87.31322325481149,0.9282194316923313,7.0,0.04866849110881866,1322.0,1045.0,1121.1875000000002,1.1791069736328668,0.9320474942861919,0.0,0.9444444444444444,4.394420421138371,24,65,61.88304940528723
28,Oregon,B10,25-10,116.46858671762335,42,96.22790318268224,23,0.8998334680535565,28,25.0,10.0,12.0,8.0,12-8,0.764126804008946,0.5770937756873494,0.843090473953559,0.764126804008946,0.5770937756873494,0.843090473953559,0.6258457918278115,0.7751701476830086,114.37174944120102,100.60385615997707,114.37174944120102,100.60385615997707,115.84661190599726,99.8509893773975,115.03973320667396,97.3613794109744,0.8719991470549653,16.0,0.08880495696324398,1484.0,1488.0,1374.8250000000005,1.0794101067408575,1.0823195679450108,0.0,0.6,5.806257694585413,12,20,68.11586151110049
29,Baylor,B12,20-15,121.3127820777884,15,100.31075552203554,68,0.8989980942507821,29,20.0,15.0,10.0,10.0,10-10,0.7624331392840874,0.5512070199479737,0.8495226152942393,0.7624331392840874,0.5512070199479737,0.8495226152942393,0.5722243250389633,0.6971033717991931,114.60768122638882,98.21866072155292,114.60768122638882,98.21866072155292,118.03921137877744,97.73162698016017,119.67070781180132,104.40584998028692,0.82767935243727,18.0,0.0010713203782808378,1423.0,1384.0,1322.2625,1.076185704427071,1.046690804586835,0.0,0.5,2.061928058877557,38,176,64.72731151965797
30,Marquette,BE,23-11,116.47076742166817,41,97.03453104540404,31,0.8908637355110373,30,23.0,11.0,13.0,7.0,13-7,0.7169703772478648,0.6179838102063839,0.7454972868777823,0.7169703772478648,0.6179838102063839,0.7454972868777823,0.6617871000761222,0.6752296737858953,112.41937565001224,101.35973456748657,112.41937565001224,101.35973456748657,115.58574864001376,96.45569855338734,119.22450415914555,100.31945582872571,0.8792619465575845,16.0,0.03163099754385379,1488.0,1361.0,1347.325,1.104410591356948,1.0101497411537677,0.0,0.65,3.6234199007416543,28,100,67.87970331072266
31,Creighton,BE,25-11,118.40875526775912,27,98.6873749099181,43,0.8904294148560512,31,25.0,11.0,15.0,5.0,15-5,0.7207316899596009,0.6097547836912761,0.7455415146155471,0.7207316899596009,0.6097547836912761,0.7455415146155471,0.6717138434066964,0.7482884612032245,112.21426631286941,100.7255640239368,112.21426631286941,100.7255640239368,117.68016489301561,98.51033000056832,118.05042003310815,95.41012988014309,0.9204634957800435,15.0,0.03996262232609937,1481.0,1375.0,1328.3374999999999,1.1149274939539087,1.035128497087525,0.0,0.75,3.0490055188681806,31,86,67.4397078583359
32,VCU,A10,28-7,115.96139037343514,50,96.68089620643218,27,0.8900426566470094,32,28.0,7.0,15.0,3.0,15-3,0.5252862535332375,0.39375005400636004,0.5676337387223174,0.5252862535332375,0.39375005400636004,0.5676337387223174,0.8338237619352126,0.8771414967164604,107.24467593233142,105.39349503843688,107.24467593233142,105.39349503843688,119.26511608009523,98.65859046610828,114.85175984150895,100.39411846706832,0.8245081198864835,3.0,-0.021358475334785965,1407.0,1147.0,1182.0,1.1903553299492386,0.9703891708967851,0.0,0.8333333333333334,1.0480751438368285,44,232,66.37884262424701
33,North Carolina,ACC,23-14,119.31018013090736,20,99.82346705038461,62,0.886020214545932,33,23.0,14.0,13.0,7.0,13-7,0.7094347425127915,0.6666402220725548,0.705789112755018,0.7094347425127915,0.6666402220725548,0.705789112755018,0.6510549757295514,0.6179804441669068,113.3559454775193,101.1215612256003,113.3559454775193,101.1215612256003,117.89791167345528,100.35751145878618,114.2004412856251,100.8035236895367,0.807677821522917,12.0,-0.007189872394706809,1556.0,1468.0,1382.8,1.1252531096326295,1.061614116285797,0.0,0.65,1.361670827206616,43,195,70.83674745464832
34,Georgia,SEC,20-13,115.72232128508642,52,96.9599079146589,30,0.8843519529385768,34,20.0,13.0,8.0,10.0,8-10,0.7023903025942299,0.4189955885930666,0.8855014112508539,0.7023903025942299,0.4189955885930666,0.8855014112508539,0.618631463431977,0.8580499241312676,113.31314794119996,101.13514018289457,113.31314794119996,101.13514018289457,115.41220334742144,94.26144370290139,113.1622679226605,96.10088969467242,0.8675397189272547,16.0,0.012246317232796122,1269.0,1303.0,1216.8625,1.0428458433060432,1.0707865514797277,0.0,0.4444444444444444,2.037914210360425,39,143,66.74784066862533
35,Mississippi St.,SEC,21-13,118.42579413043151,26,99.23445114922566,50,0.8842405769869441,35,21.0,13.0,8.0,10.0,8-10,0.74293929124468,0.5221978545636708,0.8844842092015748,0.74293929124468,0.5221978545636708,0.8844842092015748,0.6164040644354755,0.8196344830829141,114.62865418718337,101.35483472595301,114.62865418718337,101.35483472595301,118.52751727648769,99.09102246687324,119.10821920470977,100.40144674544796,0.8770560651686292,18.0,0.030052049963290473,1377.0,1416.0,1271.55,1.0829302819393654,1.113601509968149,0.0,0.4444444444444444,3.0850911083176813,30,105,68.23847930230468
36,Connecticut,BE,24-11,120.77790744203301,17,101.22096535673094,79,0.8840593754749538,36,24.0,11.0,14.0,6.0,14-6,0.690268952192572,0.5171388053437053,0.746189733403612,0.690268952192572,0.5171388053437053,0.746189733403612,0.6879718989571829,0.7814874440810313,112.06448163321133,102.6975743311311,112.06448163321133,102.6975743311311,121.26296227782645,102.15432534819809,122.44309772156126,99.67316951875463,0.9142073194988279,13.0,0.025774351420455477,1500.0,1404.0,1307.7625000000003,1.146997256764894,1.0735894323319408,0.0,0.7,2.2526069454276207,35,116,64.06673773294077
37,West Virginia,B12,19-13,110.05042660572911,106,92.39277796591593,7,0.8819714871028391,37,19.0,13.0,10.0,10.0,10-10,0.733683989873459,0.5206690640781807,0.8512717693907911,0.733683989873459,0.5206690640781807,0.8512717693907911,0.619819080324002,0.7671662508479687,113.29957281123178,100.13474236606213,113.29957281123178,100.13474236606213,109.93456564073024,92.21157056510535,110.1366016360583,93.10280343818745,0.8734923977712782,14.0,0.004624981945109408,1269.0,1305.0,1283.6624999999997,0.9885776050947973,1.0166223598492596,0.0,0.5,1.506233584062218,41,170,64.43567496064027
38,Arkansas,SEC,22-14,113.72133736692493,64,95.51445371088458,17,0.8814720844059484,38,22.0,14.0,8.0,10.0,8-10,0.7277560218581638,0.4549316281659518,0.8784570295809065,0.7277560218581638,0.4549316281659518,0.8784570295809065,0.6159453644636014,0.8350273469426495,114.21252118531581,101.39644157780414,114.21252118531581,101.39644157780414,111.5298806884815,95.72371710335727,116.39682111071025,96.4417687751991,0.8968548726484302,20.0,0.02738799332708719,1303.0,1346.0,1260.8250000000003,1.0334503202268355,1.0675549739258023,0.0,0.4444444444444444,1.3705967658851907,42,109,69.39578443726603
39,Colorado St.,MWC,26-10,117.38469907781962,33,98.97547034153096,48,0.8767191921758032,39,26.0,10.0,16.0,4.0,16-4,0.6264970085867096,0.5505623280612013,0.618430850108609,0.6264970085867096,0.5505623280612013,0.618430850108609,0.7649438251965822,0.8140251067079821,109.4743640375283,103.34210549040503,109.4743640375283,103.34210549040503,119.29221884969617,100.13474879318395,120.661508444732,108.460922570563,0.7730986136626177,8.0,-0.007009113394996214,1525.0,1318.0,1308.5125,1.1654454963173833,1.0072505994402041,0.0,0.8,0.7706918263841206,48,193,66.09889498920676
40,Xavier,BE,22-12,116.82153105846017,37,98.95112166140161,47,0.8709344106644547,40,22.0,12.0,13.0,7.0,13-7,0.6769392803134499,0.49092010076048936,0.7475227010459244,0.6769392803134499,0.49092010076048936,0.7475227010459244,0.7043723548744358,0.8137389908069227,110.9079896945813,102.13396160271871,110.9079896945813,102.13396160271871,116.73424292035118,97.19720766674935,117.0832686446846,100.08053054883096,0.858691883875941,14.0,-0.00915531617564791,1534.0,1444.0,1396.0375,1.0988243510650682,1.0343561687991907,0.0,0.65,0.4154133749115995,50,200,69.1590521344476
41,Ohio St.,B10,17-15,117.51092356011372,31,99.67429854871096,57,0.8691164993948444,41,17.0,15.0,9.0,11.0,9-11,0.7480931492700322,0.5541769930669536,0.8523073711279217,0.7480931492700322,0.5541769930669536,0.8523073711279217,0.6192752696283247,0.7417571943555111,114.34729790898145,100.80483505394488,114.34729790898145,100.80483505394488,116.86565776674324,99.52791223900068,115.51790227369635,98.54641944266876,0.8614427351214938,17.0,-0.035671943116362126,1515.0,1517.0,1395.9374999999995,1.0852921423774349,1.0867248712782631,0.0,0.45,-0.38021667231561895,56,271,67.33560942165275
42,New Mexico,MWC,27-8,112.31276970080009,80,95.42623589684862,16,0.8668905702334053,42,27.0,8.0,17.0,3.0,17-3,0.6219790301300474,0.564159676940677,0.6194279109810175,0.6219790301300474,0.564159676940677,0.6194279109810175,0.7518275978725476,0.7667844472146885,109.38264859690808,102.35014879414202,109.38264859690808,102.35014879414202,111.1833844021453,94.70254394588753,115.41073247564611,93.66153060661675,0.9169273542561005,10.0,0.06826432346087752,1588.0,1383.0,1451.0875,1.0943516500555617,0.9530782947272304,0.0,0.85,2.7275802312753847,33,40,72.90740634070607
43,Vanderbilt,SEC,20-13,118.60109040126639,25,101.13443840765294,78,0.8620143491836922,43,20.0,13.0,8.0,10.0,8-10,0.6932597304826367,0.38395392775580517,0.8957101555689463,0.6932597304826367,0.38395392775580517,0.8957101555689463,0.6380840669628697,0.9005515568931279,112.73455132378835,101.75924828954821,112.73455132378835,101.75924828954821,119.88311913676726,101.73527479600436,119.044181587865,101.83558430546258,0.8576068269005325,17.0,0.025617860012944416,1351.0,1455.0,1255.4375000000005,1.0761188828595605,1.158958530392791,0.0,0.4444444444444444,1.598572541964839,40,118,69.67543615597364
44,Cincinnati,B12,19-16,111.85350393529632,89,95.5951488334304,19,0.8589118363201242,44,19.0,16.0,7.0,13.0,7-13,0.711894577453144,0.4318769601643783,0.8552288226928679,0.711894577453144,0.4318769601643783,0.8552288226928679,0.6603356841640018,0.8588813388586622,112.31116554853277,101.35389060738197,112.31116554853277,101.35389060738197,109.71717700299848,96.18642243865989,108.00598523810719,97.9216073045679,0.7553260921828893,14.0,-0.04962627955250609,1311.0,1381.0,1309.5875,1.0010785839052372,1.0545305296515124,0.0,0.35,-1.0222723040494395,61,295,65.85785406694697
45,Texas,SEC,19-16,117.41046718282927,32,100.99566970884085,75,0.8496529686293235,45,19.0,16.0,6.0,12.0,6-12,0.7132163347021184,0.4054456057225526,0.893666678819618,0.7132163347021184,0.4054456057225526,0.893666678819618,0.629280159273239,0.8784783897077513,112.69879415035568,101.96795500524586,112.69879415035568,101.96795500524586,115.49979074717925,100.85777646106865,116.6987442689748,101.96209171161549,0.8252657017357067,21.0,-0.004640262359817626,1324.0,1406.0,1256.4125000000001,1.0537940365922815,1.119059226169749,0.0,0.3333333333333333,0.15366136377643524,51,187,67.55056641672394
46,Santa Clara,WCC,21-13,116.5952164854622,40,100.30199868524988,67,0.8495415905238404,46,21.0,13.0,12.0,6.0,12-6,0.587140614810747,0.5986010512199174,0.597033285697999,0.587140614810747,0.5986010512199174,0.597033285697999,0.7962882311773125,0.8228051499958269,109.88609118783948,105.41426280217902,109.88609118783948,105.41426280217902,117.71188730992436,99.56204992927617,117.50856541709418,101.09904158473903,0.8493768182569021,5.0,-0.11466376980636894,1493.0,1306.0,1277.2624999999998,1.1689061567218957,1.0224992904747459,0.0,0.6666666666666666,-3.273118943235594,84,355,69.2293674051306
