date,game_id,team_a,team_b,chosen_side,chosen_team,chosen_odds,our_prob,implied_prob,edge,edge_bucket,zone,bankroll_before,kelly_fraction,bet_amount,bet_won,profit,bankroll_after,actual_winner
2024-11-16,california-irvine_vs_pepperdine_20241116,Team A,Team B,A,Team A,-1800.0,0.947548,0.9473684210526315,0.0001795789473684195,0.000-0.005,Heavy Favorite (<-300),15543.31259716946,0.003411999999999345,53.033782581532016,True,2.9463212545295576,15546.25891842399,A
2024-11-16,wyoming_vs_utah tech_20241116,Team A,Team B,A,Team A,-563.0,0.84971994,0.8491704374057315,0.0005495025942684473,0.000-0.005,Heavy Favorite (<-300),15546.25891842399,0.0036432021999996374,56.638164693366264,True,10.06006477679685,15556.318983200787,A
2024-11-16,columbia_vs_mercyhurst_20241116,Team A,Team B,A,Team A,-965.0,0.9105192,0.9061032863849765,0.00441591361502347,0.000-0.005,Heavy Favorite (<-300),15556.318983200787,0.04702947999999912,731.605592494048,True,75.81405103565258,15632.13303423644,A
2024-11-16,missouri-state_vs_tulsa_20241116,Team A,Team B,A,Team A,150.0,0.4207747,0.4,0.02077469999999998,0.020-0.025,Slight Underdog (+110 to +150),15632.13303423644,0.03462449999999998,541.2547902439193,True,811.882185365879,16444.01521960232,A
2024-11-16,longwood_vs_ut martin_20241116,Team A,Team B,A,Team A,-850.0,0.8980047,0.8947368421052632,0.0032678578947368253,0.000-0.005,Heavy Favorite (<-300),16444.01521960232,0.031044650000000035,510.4986970872277,True,60.058670245556215,16504.073889847874,A
2024-11-16,marshall_vs_bellarmine_20241116,Team A,Team B,A,Team A,-500.0,0.8550081,0.8333333333333334,0.02167476666666668,0.020-0.025,Heavy Favorite (<-300),16504.073889847874,0.1300486000000001,2146.331703671272,True,429.2663407342543,16933.34023058213,A
2024-11-16,st-bonaventure_vs_le moyne_20241116,Team A,Team B,A,Team A,-2100.0,0.95779115,0.9545454545454546,0.0032456954545454497,0.000-0.005,Heavy Favorite (<-300),16933.34023058213,0.0714053000000018,1209.1302391668164,True,57.57763043651513,16990.917861018643,A
2024-11-16,southern-utah_vs_omaha_20241116,Team A,Team B,A,Team A,-330.0,0.790791,0.7674418604651163,0.02334913953488371,0.020-0.025,Heavy Favorite (<-300),16990.917861018643,0.10040129999999997,1705.9102414394906,True,516.9424974059061,17507.86035842455,A
2024-11-16,rice_vs_northwestern state_20241116,Team A,Team B,A,Team A,-447.0,0.8221829,0.8171846435100548,0.00499825648994523,0.000-0.005,Heavy Favorite (<-300),17507.86035842455,0.027340463000000464,478.67300833868126,True,107.08568419209874,17614.946042616648,A
2024-11-16,georgetown_vs_notre dame_20241116,Team A,Team B,A,Team A,130.0,0.4364247,0.43478260869565216,0.001642091304347837,0.000-0.005,Slight Underdog (+110 to +150),17614.946042616648,0.0029052384615384343,51.17561874093412,False,-51.17561874093412,17563.770423875714,B
2024-11-17,southern-california_vs_california_20241117,Team A,Team B,A,Team A,-350.0,0.78007746,0.7777777777777778,0.00229968222222221,0.000-0.005,Heavy Favorite (<-300),17563.770423875714,0.010348569999999674,181.75990769540178,False,-181.75990769540178,17382.01051618031,B
2024-11-17,brown_vs_sacred heart_20241117,Team A,Team B,A,Team A,-420.0,0.8263936,0.8076923076923077,0.01870129230769224,0.015-0.020,Heavy Favorite (<-300),17382.01051618031,0.09724671999999983,1690.3435097040392,True,402.4627404057237,17784.473256586036,A
2024-11-18,cal-state-fullerton_vs_idaho state_20241118,Team A,Team B,B,Team B,125.0,0.44739700000000004,0.4444444444444444,0.002952555555555625,0.000-0.005,Slight Underdog (+110 to +150),17784.473256586036,0.005314600000000081,94.51736156945358,False,-94.51736156945358,17689.95589501658,A
2024-11-18,utah-state_vs_montana_20241118,Team A,Team B,A,Team A,-1800.0,0.94861007,0.9473684210526315,0.0012416489473684456,0.000-0.005,Heavy Favorite (<-300),17689.95589501658,0.023591329999999914,417.32958720478,True,23.184977066932234,17713.140872083513,A
2024-11-18,high-point_vs_american_20241118,Team A,Team B,A,Team A,-1650.0,0.9450215,0.9428571428571428,0.0021643571428571207,0.000-0.005,Heavy Favorite (<-300),17713.140872083513,0.03787624999999848,670.9073519562263,True,40.66105163371065,17753.801923717223,A
2024-11-18,north-carolina-state_vs_colgate_20241118,Team A,Team B,A,Team A,-1000.0,0.9095464,0.9090909090909091,0.0004554909090909165,0.000-0.005,Heavy Favorite (<-300),17753.801923717223,0.0050104000000004935,88.95364915860154,True,8.895364915860162,17762.697288633084,A
2024-11-19,louisiana-lafayette_vs_rice_20241119,Team A,Team B,B,Team B,141.0,0.42603374000000005,0.4149377593360996,0.01109598066390044,0.010-0.015,Slight Underdog (+110 to +150),17762.697288633084,0.018965470496454032,336.87791136501477,True,474.99785502467086,18237.695143657755,B
2024-11-19,santa-clara_vs_uc riverside_20241119,Team A,Team B,A,Team A,-396.0,0.83182055,0.7983870967741935,0.033433453225806486,0.030-0.035,Heavy Favorite (<-300),18237.695143657755,0.16582992800000013,3024.3556725587173,True,763.7261799390702,19001.421323596824,A
2024-11-19,green-bay_vs_siu edwardsville_20241119,Team A,Team B,B,Team B,147.0,0.44918877,0.4048582995951417,0.044330470404858324,0.040-0.045,Slight Underdog (+110 to +150),19001.421323596824,0.07448725299319725,1415.3636773610895,False,-1415.3636773610895,17586.057646235735,A
2024-11-19,marist_vs_dartmouth_20241119,Team A,Team B,A,Team A,-455.0,0.82995474,0.8198198198198198,0.010134920180180251,0.010-0.015,Heavy Favorite (<-300),17586.057646235735,0.05624880700000055,989.1947624339979,True,217.40544229318644,17803.463088528923,A
2024-11-19,bowling-green-state_vs_niagara_20241119,Team A,Team B,A,Team A,-380.0,0.8179855,0.7916666666666666,0.026318833333333402,0.025-0.030,Heavy Favorite (<-300),17803.463088528923,0.12633039999999993,2249.1186133590927,True,591.8733193050242,18395.336407833947,A
2024-11-19,minnesota_vs_cleveland state_20241119,Team A,Team B,A,Team A,-1100.0,0.92044044,0.9166666666666666,0.0037737733333333967,0.000-0.005,Heavy Favorite (<-300),18395.336407833947,0.045285279999999595,833.037959922947,True,75.73072362935875,18471.067131463307,A
2024-11-19,belmont_vs_oral roberts_20241119,Team A,Team B,A,Team A,-455.0,0.8431519,0.8198198198198198,0.02333208018018018,0.020-0.025,Heavy Favorite (<-300),18471.067131463307,0.12949304500000017,2391.874727252602,True,525.6867532423304,18996.75388470564,A
2024-11-19,notre-dame_vs_north dakota_20241119,Team A,Team B,A,Team A,-2300.0,0.97002494,0.9583333333333334,0.011691606666666576,0.010-0.015,Heavy Favorite (<-300),18996.75388470564,0.25,4749.18847117641,True,206.4864552685394,19203.240339974178,A
2024-11-19,depaul_vs_eastern illinois_20241119,Team A,Team B,A,Team A,-1800.0,0.9629961,0.9473684210526315,0.015627678947368495,0.015-0.020,Heavy Favorite (<-300),19203.240339974178,0.25,4800.8100849935445,True,266.71167138853036,19469.952011362708,A
2024-11-19,florida-state_vs_hofstra_20241119,Team A,Team B,A,Team A,-400.0,0.81102103,0.8,0.011021029999999987,0.010-0.015,Heavy Favorite (<-300),19469.952011362708,0.05510515000000016,1072.8946260789469,True,268.2236565197367,19738.175667882446,A
2024-11-20,southern-california_vs_san jose state_20241120,Team A,Team B,A,Team A,-2100.0,0.96005267,0.9545454545454546,0.005507215454545467,0.005-0.010,Heavy Favorite (<-300),19738.175667882446,0.1211587400000021,2391.452493819337,True,113.87869018187332,19852.05435806432,A
2024-11-20,rutgers_vs_merrimack_20241120,Team A,Team B,A,Team A,-2500.0,0.96504563,0.9615384615384616,0.0035071684615384235,0.000-0.005,Heavy Favorite (<-300),19852.05435806432,0.09118638000000052,1810.2369724751197,True,72.40947889900485,19924.463836963325,A
2024-11-20,richmond_vs_maine_20241120,Team A,Team B,A,Team A,-376.0,0.8103598,0.7899159663865546,0.020443833613445372,0.020-0.025,Heavy Favorite (<-300),19924.463836963325,0.09731264799999982,1938.902335955138,True,515.6655148816856,20440.12935184501,A
2024-11-20,grand-canyon_vs_uc davis_20241120,Team A,Team B,A,Team A,-1650.0,0.9508595,0.9428571428571428,0.00800235714285713,0.005-0.010,Heavy Favorite (<-300),20440.12935184501,0.14004124999999878,2862.46126459404,False,-2862.46126459404,17577.66808725097,B
2024-11-21,illinois-chicago_vs_james madison_20241121,Team A,Team B,A,Team A,140.0,0.420568,0.4166666666666667,0.0039013333333333122,0.000-0.005,Slight Underdog (+110 to +150),17577.66808725097,0.006688000000000012,117.5594441675347,False,-117.5594441675347,17460.108643083437,B
2024-11-21,mississippi_vs_oral roberts_20241121,Team A,Team B,A,Team A,-2700.0,0.9720988,0.9642857142857143,0.007813085714285739,0.005-0.010,Heavy Favorite (<-300),17460.108643083437,0.21876639999999997,3819.685111456248,True,141.46981894282376,17601.57846202626,A
2024-11-21,indiana_vs_unc greensboro_20241121,Team A,Team B,A,Team A,-2800.0,0.9673804,0.9655172413793104,0.0018631586206896422,0.000-0.005,Heavy Favorite (<-300),17601.57846202626,0.05403160000000334,951.0414468288768,True,33.96576595817426,17635.544227984436,A
2024-11-21,nevada_vs_vanderbilt_20241121,Team A,Team B,B,Team B,124.0,0.44917065,0.44642857142857145,0.0027420785714285523,0.000-0.005,Slight Underdog (+110 to +150),17635.544227984436,0.00495343225806457,87.35647366742255,True,108.32202734760398,17743.86625533204,B
2024-11-21,clemson_vs_radford_20241121,Team A,Team B,A,Team A,-2400.0,0.9712577,0.96,0.011257700000000037,0.010-0.015,Heavy Favorite (<-300),17743.86625533204,0.25,4435.96656383301,True,184.83194015970906,17928.698195491746,A
2024-11-22,saint-louis_vs_wichita state_20241122,Team A,Team B,A,Team A,136.0,0.46494275,0.423728813559322,0.041213936440678,0.040-0.045,Slight Underdog (+110 to +150),17928.698195491746,0.07151830147058842,1282.2300425203734,False,-1282.2300425203734,16646.468152971374,B
2024-11-22,davidson_vs_vmi_20241122,Team A,Team B,A,Team A,-2400.0,0.9609035,0.96,0.000903500000000057,0.000-0.005,Heavy Favorite (<-300),16646.468152971374,0.022587500000002217,376.0020994052778,True,15.666754141886603,16662.13490711326,A
2024-11-22,wyoming_vs_southeastern louisiana_20241122,Team A,Team B,A,Team A,-625.0,0.86260426,0.8620689655172413,0.0005352944827586859,0.000-0.005,Heavy Favorite (<-300),16662.13490711326,0.003880884999999704,64.66382942898731,True,10.346212708637966,16672.4811198219,A
2024-11-22,buffalo_vs_morgan state_20241122,Team A,Team B,B,Team B,134.0,0.44770944,0.42735042735042733,0.020359012649572683,0.020-0.025,Slight Underdog (+110 to +150),16672.4811198219,0.03555230567164179,592.7451450765848,False,-592.7451450765848,16079.735974745316,A
2024-11-22,northwestern_vs_pepperdine_20241122,Team A,Team B,A,Team A,-2200.0,0.96506464,0.9565217391304348,0.008542900869565218,0.005-0.010,Heavy Favorite (<-300),16079.735974745316,0.19648671999999995,3159.454580143709,True,143.6115718247139,16223.34754657003,A
2024-11-22,southern-methodist_vs_mississippi state_20241122,Team A,Team B,A,Team A,105.0,0.5239995,0.4878048780487805,0.036194621951219474,0.035-0.040,Pick'em Underdog (+100 to +110),16223.347546570032,0.07066569047619033,1146.4340562135794,False,-1146.4340562135794,15076.913490356452,B
2024-11-22,notre-dame_vs_elon_20241122,Team A,Team B,A,Team A,-1600.0,0.9419484,0.9411764705882353,0.000771929411764738,0.000-0.005,Heavy Favorite (<-300),15076.913490356452,0.013122800000000323,197.85132035125451,False,-197.85132035125451,14879.062170005198,B
2024-11-22,tulane_vs_new orleans_20241122,Team A,Team B,A,Team A,-2800.0,0.96944,0.9655172413793104,0.0039227586206895815,0.000-0.005,Heavy Favorite (<-300),14879.062170005198,0.11376000000000133,1692.6421124598112,False,-1692.6421124598112,13186.420057545387,B
2024-11-22,american_vs_kansas city_20241122,Team A,Team B,A,Team A,150.0,0.4057556,0.4,0.005755599999999972,0.005-0.010,Slight Underdog (+110 to +150),13186.420057545387,0.009592666666666657,126.49293213868026,True,189.7393982080204,13376.159455753408,A
2024-11-22,arkansas_vs_little rock_20241122,Team A,Team B,A,Team A,-2500.0,0.96820974,0.9615384615384616,0.006671278461538477,0.005-0.010,Heavy Favorite (<-300),13376.159455753408,0.1734532400000018,2320.1381963570893,True,92.80552785428365,13468.964983607691,A
2024-11-22,indiana-state_vs_chicago state_20241122,Team A,Team B,A,Team A,-2100.0,0.9563344,0.9545454545454546,0.001788945454545443,0.000-0.005,Heavy Favorite (<-300),13468.964983607691,0.039356800000001704,530.0953610668741,True,25.24263624127975,13494.20761984897,A
2024-11-22,alabama-am_vs_south carolina state_20241122,Team A,Team B,A,Team A,105.0,0.5094669,0.4878048780487805,0.021662021951219468,0.020-0.025,Pick'em Underdog (+100 to +110),13494.20761984897,0.042292519047618826,570.7040327949857,False,-570.7040327949857,12923.503587053985,B
2024-11-22,loyola-marymount_vs_north dakota_20241122,Team A,Team B,A,Team A,-592.0,0.8569916,0.8554913294797688,0.0015002705202311617,0.000-0.005,Heavy Favorite (<-300),12923.503587053985,0.010381871999999518,134.1701600323291,False,-134.1701600323291,12789.333427021656,B
2024-11-23,idaho_vs_southern utah_20241123,Team A,Team B,A,Team A,132.0,0.47116,0.43103448275862066,0.04012551724137936,0.040-0.045,Slight Underdog (+110 to +150),12789.333427021656,0.07052363636363647,901.9502999405759,False,-901.9502999405759,11887.38312708108,B
2024-11-23,depaul_vs_northern illinois_20241123,Team A,Team B,A,Team A,-2100.0,0.9585954,0.9545454545454546,0.0040499454545454006,0.000-0.005,Heavy Favorite (<-300),11887.38312708108,0.08909880000000073,1059.1515717631805,True,50.43578913158008,11937.81891621266,A
2024-11-23,long-beach-state_vs_fresno state_20241123,Team A,Team B,B,Team B,142.0,0.41745687,0.4132231404958678,0.0042337295041322,0.000-0.005,Slight Underdog (+110 to +150),11937.81891621266,0.0072152291549295484,86.13409909052704,True,122.31042070854839,12060.129336921209,B
2024-11-23,alabama-am_vs_coastal carolina_20241123,Team A,Team B,A,Team A,130.0,0.44307575,0.43478260869565216,0.008293141304347829,0.005-0.010,Slight Underdog (+110 to +150),12060.129336921209,0.014672480769230686,176.95201577041126,True,230.0376205015346,12290.166957422744,A
2024-11-23,canisius_vs_brown_20241123,Team A,Team B,B,Team B,-360.0,0.78661123,0.782608695652174,0.004002534347826048,0.000-0.005,Heavy Favorite (<-300),12290.166957422744,0.018411657999999703,226.28235078296447,True,62.85620855082344,12353.023165973567,B
2024-11-24,lipscomb_vs_jackson state_20241124,Team A,Team B,A,Team A,-1650.0,0.95098937,0.9428571428571428,0.008132227142857107,0.005-0.010,Heavy Favorite (<-300),12353.023165973567,0.14231397499999834,1758.0078300167627,True,106.54592909192492,12459.569095065492,A
2024-11-24,cal-state-northridge_vs_utah tech_20241124,Team A,Team B,A,Team A,-400.0,0.83142775,0.8,0.03142774999999998,0.030-0.035,Heavy Favorite (<-300),12459.569095065492,0.1571387500000001,1957.8811131372238,True,489.47027828430595,12949.039373349797,A
2024-11-24,akron_vs_alabama state_20241124,Team A,Team B,A,Team A,-363.0,0.8060977,0.7840172786177105,0.022080421382289495,0.020-0.025,Heavy Favorite (<-300),12949.039373349799,0.10223235100000039,1323.8107383291215,True,364.6861538096755,13313.725527159473,A
2024-11-24,duquesne_vs_south dakota state_20241124,Team A,Team B,A,Team A,132.0,0.46992177,0.43103448275862066,0.038887287241379354,0.035-0.040,Slight Underdog (+110 to +150),13313.725527159473,0.06834735333333346,909.9579027877897,False,-909.9579027877897,12403.767624371683,B
2024-11-24,portland_vs_princeton_20241124,Team A,Team B,B,Team B,-700.0,0.88028883,0.875,0.005288830000000022,0.005-0.010,Heavy Favorite (<-300),12403.767624371683,0.042310639999999754,524.8113465984425,True,74.97304951406318,12478.740673885746,B
2024-11-25,saint-louis_vs_quinnipiac_20241125,Team A,Team B,A,Team A,-520.0,0.8445508,0.8387096774193549,0.005841122580645175,0.005-0.010,Heavy Favorite (<-300),12478.740673885746,0.03621496000000021,451.917094355148,True,86.90713352983614,12565.647807415582,A
2024-11-25,massachusetts-lowell_vs_merrimack_20241125,Team A,Team B,A,Team A,-310.0,0.7599634,0.7560975609756098,0.003865839024390194,0.000-0.005,Heavy Favorite (<-300),12565.647807415582,0.015849939999999698,199.16476380866473,True,64.24669800279506,12629.894505418377,A
2024-11-25,cal-state-northridge_vs_denver_20241125,Team A,Team B,A,Team A,-330.0,0.77525157,0.7674418604651163,0.007809709534883691,0.005-0.010,Heavy Favorite (<-300),12629.894505418377,0.033581750999999896,424.13397243722676,True,128.525446193099,12758.419951611475,A
2024-11-25,kansas-state_vs_longwood_20241125,Team A,Team B,A,Team A,-543.0,0.8462731,0.8444790046656299,0.0017940953343701382,0.000-0.005,Heavy Favorite (<-300),12758.419951611475,0.01153603299999988,147.18155358964685,True,27.105258487964427,12785.52521009944,A
2024-11-26,memphis_vs_michigan state_20241126,Team A,Team B,A,Team A,120.0,0.47778973,0.45454545454545453,0.023244275454545493,0.020-0.025,Slight Underdog (+110 to +150),12785.52521009944,0.04261450500000013,544.8488279934103,True,653.8185935920924,13439.343803691532,A
2024-11-26,eastern-michigan_vs_northern arizona_20241126,Team A,Team B,A,Team A,140.0,0.44895118,0.4166666666666667,0.03228451333333332,0.030-0.035,Slight Underdog (+110 to +150),13439.343803691532,0.055344879999999964,743.7988700940509,True,1041.3184181316713,14480.662221823204,A
2024-11-26,mercer_vs_miami (oh)_20241126,Team A,Team B,A,Team A,146.0,0.45066288,0.4065040650406504,0.04415881495934959,0.040-0.045,Slight Underdog (+110 to +150),14480.662221823204,0.07440457863013694,1077.427570900098,False,-1077.427570900098,13403.234650923107,B
2024-11-26,missouri-state_vs_south dakota state_20241126,Team A,Team B,A,Team A,130.0,0.44451612,0.43478260869565216,0.009733511304347853,0.005-0.010,Slight Underdog (+110 to +150),13403.234650923107,0.0172208276923077,230.81479444311475,False,-230.81479444311475,13172.419856479992,B
2024-11-26,virginia_vs_manhattan_20241126,Team A,Team B,A,Team A,-1800.0,0.956525,0.9473684210526315,0.009156578947368432,0.005-0.010,Heavy Favorite (<-300),13172.419856479992,0.17397499999999957,2291.671744531101,True,127.31509691839456,13299.734953398387,A
2024-11-27,brown_vs_stony brook_20241127,Team A,Team B,A,Team A,-450.0,0.8439553,0.8181818181818182,0.02577348181818173,0.025-0.030,Heavy Favorite (<-300),13299.734953398387,0.14175415000000008,1885.292623544279,True,418.95391634317326,13718.68886974156,A
2024-11-27,syracuse_vs_cornell_20241127,Team A,Team B,A,Team A,-485.0,0.8364304,0.8290598290598291,0.007370570940170906,0.005-0.010,Heavy Favorite (<-300),13718.68886974156,0.04311783999999987,591.5202316952957,True,121.96293437016402,13840.651804111723,A
2024-11-27,north-dakota-state_vs_west georgia_20241127,Team A,Team B,A,Team A,-418.0,0.8155871,0.806949806949807,0.008637293050193007,0.005-0.010,Heavy Favorite (<-300),13840.651804111723,0.04474117799999982,619.2470660037812,True,148.14523110138302,13988.797035213107,A
2024-11-27,north-carolina-wilmington_vs_colgate_20241127,Team A,Team B,A,Team A,-380.0,0.793819,0.7916666666666666,0.0021523333333334227,0.000-0.005,Heavy Favorite (<-300),13988.797035213107,0.010331200000000044,144.52105993019427,False,-144.52105993019427,13844.275975282913,B
2024-11-27,villanova_vs_rider_20241127,Team A,Team B,A,Team A,-2000.0,0.9662153,0.9523809523809523,0.013834347619047671,0.010-0.015,Heavy Favorite (<-300),13844.275975282913,0.25,3461.0689938207283,True,173.05344969103658,14017.32942497395,A
2024-11-28,florida_vs_wake forest_20241128,Team A,Team B,A,Team A,-340.0,0.78488535,0.7727272727272727,0.01215807727272733,0.010-0.015,Heavy Favorite (<-300),14017.32942497395,0.05349554000000029,749.864606946875,True,220.54841380790447,14237.877838781855,A
2024-11-28,mississippi_vs_brigham young_20241128,Team A,Team B,A,Team A,121.0,0.49006,0.45248868778280543,0.037571312217194563,0.035-0.040,Slight Underdog (+110 to +150),14237.877838781855,0.0686219834710743,977.0314177160635,True,1182.2080154364369,15420.085854218292,A
2024-11-28,mississippi-state_vs_unlv_20241128,Team A,Team B,A,Team A,-400.0,0.8204456,0.8,0.020445599999999953,0.020-0.025,Heavy Favorite (<-300),15420.085854218292,0.10222799999999999,1576.3645367050274,True,394.09113417625684,15814.176988394549,A
2024-11-29,george-washington_vs_vmi_20241129,Team A,Team B,A,Team A,-2400.0,0.9625562,0.96,0.0025562000000000085,0.000-0.005,Heavy Favorite (<-300),15814.176988394549,0.06390500000000088,1010.6049804433675,True,42.10854085180706,15856.285529246356,A
2024-11-29,arkansas-state_vs_indiana state_20241129,Team A,Team B,A,Team A,-404.0,0.80507207,0.8015873015873016,0.0034847684126984024,0.000-0.005,Heavy Favorite (<-300),15856.285529246356,0.017563232800000193,278.487634093428,True,68.93258269639307,15925.218111942748,A
2024-11-29,louisiana-state_vs_northwestern state_20241129,Team A,Team B,A,Team A,-2500.0,0.9690619,0.9615384615384616,0.0075234384615384675,0.005-0.010,Heavy Favorite (<-300),15925.218111942748,0.19560940000000157,3115.1223597462786,True,124.60489438985125,16049.8230063326,A
2024-11-29,pennsylvania_vs_navy_20241129,Team A,Team B,B,Team B,145.0,0.42832726,0.40816326530612246,0.02016399469387753,0.020-0.025,Slight Underdog (+110 to +150),16049.823006332597,0.03407019793103454,546.8206465838234,True,792.889937546544,16842.71294387914,B
2024-11-29,lafayette_vs_liu_20241129,Team A,Team B,B,Team B,135.0,0.43091630000000003,0.425531914893617,0.005384385106383005,0.005-0.010,Slight Underdog (+110 to +150),16842.71294387914,0.009372818518518561,157.8636917824827,False,-157.8636917824827,16684.849252096657,A
2024-11-29,mississippi_vs_purdue_20241129,Team A,Team B,A,Team A,135.0,0.46077105,0.425531914893617,0.03523913510638299,0.035-0.040,Slight Underdog (+110 to +150),16684.849252096657,0.061342198148148126,1023.4853288940942,False,-1023.4853288940942,15661.363923202563,B
2024-11-29,troy_vs_merrimack_20241129,Team A,Team B,A,Team A,-700.0,0.87515426,0.875,0.00015425999999996165,0.000-0.005,Heavy Favorite (<-300),15661.363923202563,0.0012340799999993608,19.32737599033581,False,-19.32737599033581,15642.036547212228,B
2024-11-29,kennesaw-state_vs_towson_20241129,Team A,Team B,A,Team A,130.0,0.4414124,0.43478260869565216,0.006629791304347821,0.005-0.010,Slight Underdog (+110 to +150),15642.036547212228,0.011729630769230675,183.4753131776113,True,238.51790713089466,15880.554454343122,A
2024-11-30,indiana-state_vs_iona_20241130,Team A,Team B,B,Team B,150.0,0.40815777,0.4,0.008157769999999953,0.005-0.010,Slight Underdog (+110 to +150),15880.554454343122,0.013596283333333329,215.91651785167775,False,-215.91651785167775,15664.637936491445,A
2024-11-30,bucknell_vs_siena_20241130,Team A,Team B,B,Team B,142.0,0.42997854999999996,0.4132231404958678,0.01675540950413218,0.015-0.020,Slight Underdog (+110 to +150),15664.637936491445,0.02855499366197176,447.3036369935956,True,635.1711645309057,16299.80910102235,B
2024-11-30,toledo_vs_oakland_20241130,Team A,Team B,A,Team A,-386.0,0.8135799,0.7942386831275721,0.019341216872427958,0.015-0.020,Heavy Favorite (<-300),16299.80910102235,0.09399831400000021,1532.15457401796,False,-1532.15457401796,14767.65452700439,B
2024-11-30,east-tennessee-state_vs_austin peay_20241130,Team A,Team B,A,Team A,-443.0,0.8370227,0.8158379373848987,0.02118476261510127,0.020-0.025,Heavy Favorite (<-300),14767.65452700439,0.11503326099999994,1698.7714575627267,True,383.46985498029943,15151.12438198469,A
2024-11-30,wright-state_vs_air force_20241130,Team A,Team B,A,Team A,-400.0,0.81636107,0.8,0.016361069999999978,0.015-0.020,Heavy Favorite (<-300),15151.12438198469,0.08180535000000011,1239.4430329617928,True,309.8607582404482,15460.985140225137,A
